# word	suggested_split
# Review this file: delete bad rows, edit splits, then run apply_morpheme_review.py
abuse	ab:prefix|use:root
access	ac:prefix|cess:root
accommodate	ac:prefix|commod:root|ate:bound
accord	ac:prefix|cord:root
adapt	ad:prefix|apt:root
adopt	ad:prefix|opt:root
affix	af:prefix|fix:root
afflict	af:prefix|flict:root
aggravate	ag:prefix|grav:root|ate:bound
aggregate	ag:prefix|greg:root|ate:bound
anticipate	ante:prefix|cip:root|ate:bound
appeal	ad:prefix|pel:root
applaud	ap:prefix|laud:root
applicant	ap:prefix|plic:root|ant:bound
architect	arch:root|tect:root
arctic	arct:root|ic:bound
ardent	ard:root|ent:bound
arrogant	ad:prefix|rog:root|ant:bound
assert	as:prefix|sert:root
assess	ad:prefix|sess:root
assign	ad:prefix|sign:root
assume	ad:prefix|sum:root
assumption	ad:prefix|sumpt:root|ion:bound
attend	at:prefix|tend:root
augment	aug:root|ment:bound
caption	capt:root|ion:bound
casual	cas:root|ual:bound
catalogue	cata:prefix|log:root
cellar	cell:root|ar:bound
civic	civ:root|ic:bound
commit	com:prefix|mit:root
compel	com:prefix|pel:root
confer	con:prefix|fer:root
consensus	con:prefix|sens:root|us:bound
contaminate	con:prefix|tamin:root|ate:bound
corrode	cor:prefix|rod:root
counterbalance	counter:free|balance:free
counterpart	counter:free|part:free
database	data:free|base:free
decay	de:prefix|cay:root
decrepit	de:prefix|crep:root|it:bound
dedicated	de:prefix|dic:root|ate:bound|ed:bound
defer	de:prefix|fer:root
deficiency	de:prefix|fic:root|iency:bound
deficit	de:prefix|fic:root|it:bound
demolish	de:prefix|mol:root|ish:bound
desert	de:prefix|sert:root
deter	de:prefix|ter:root
diagram	dia:prefix|gram:root
differ	dif:prefix|fer:root
digest	di:prefix|gest:root
dilapidated	de:prefix|lapid:root|ate:bound|ed:bound
dilate	di:prefix|lat:root
diligent	dilig:root|ent:bound
diminish	de:prefix|minu:root|ish:bound
diverse	di:prefix|vers:root
domestic	dom:root|estic:bound
durable	dur:root|able:bound
dynamic	dynam:root|ic:bound
efficient	ef:prefix|fici:root|ent:bound
elevate	lev:root|ate:bound
escalate	scale:root|ate:bound
essence	ess:root|ence:bound
establish	stabl:root|ish:bound
eternal	eter:root|nal:bound
excel	ex:prefix|cel:root
excerpt	ex:prefix|cerp:root
excrement	ex:prefix|crement:root
exert	ex:prefix|ert:root
exhilarate	ex:prefix|hilar:root|ate:bound
expel	ex:prefix|pel:root
expire	ex:prefix|pir:root
facilitate	facil:root|it:bound|ate:bound
faculty	fac:root|ity:bound
fluctuate	fluct:root|uate:bound
fountain	fount:free|ain:bound
friction	frict:root|ion:bound
guideline	guide:free|line:free
homestay	home:free|stay:free
incur	in:prefix|cur:root
instantaneous	in:prefix|stant:root|aneous:bound
intense	in:prefix|tens:root
itinerary	itiner:root|ary:bound
languid	langu:root|id:bound
legal	leg:root|al:bound
legislate	leg:root|late:bound
lenient	leni:root|ent:bound
lever	lev:root|er:bound
licence	lic:root|ence:bound
liquor	liqu:root|or:bound
logic	log:root|ic:bound
lucid	luc:root|id:bound
ludicrous	lud:root|ic:bound|rous:bound
magnate	magn:root|ate:bound
malice	mal:root|ice:bound
manifest	mani:root|fest:root
manual	mani:root|ual:bound
marine	mar:root|ine:bound
meditate	medit:root|ate:bound
memorandum	memor:root|and:bound|um:bound
mercantile	merc:root|ant:bound|ile:bound
mercenary	mercen:root|ary:bound
meticulous	meticul:root|ous:bound
minister	mini:prefix|ster:bound
missile	miss:root|ile:bound
mission	miss:root|ion:bound
moderate	moder:root|ate:bound
monitor	monit:root|or:bound
mucous	muc:root|ous:bound
municipal	munis:root|cip:bound|al:bound
natal	nat:root|al:bound
native	nat:root|ive:bound
neglect	ne:prefix|lect:bound
noxious	noc:root|ious:bound
occasion	oc:prefix|cas:root|ion:bound
opponent	op:prefix|pon:root|ent:bound
option	opt:root|ion:bound
paradox	para:prefix|dox:root
parallel	para:prefix|allel:root
participate	part:root|icip:bound|ate:bound
particle	part:root|icle:bound
patron	patr:root|on:bound
pedestrian	ped:root|estrian:bound
permit	per:prefix|mit:root
pesticide	pest:root|icide:bound
physique	phys:root|ique:bound
profit	pro:prefix|fit:root
propel	pro:prefix|pel:root
provoke	pro:prefix|voc:root
punctual	punct:root|ual:bound
receipt	re:prefix|cept:root
recipient	re:prefix|cip:root|ient:bound
referendum	re:prefix|fer:root|endum:bound
remedy	re:prefix|med:root
repel	re:prefix|pel:root
rigid	rig:root|id:bound
rotate	rot:root|ate:bound
saline	sal:root|ine:bound
saturate	satur:root|ate:bound
seclude	se:prefix|clud:root
secular	sec:root|ular:bound
stimulus	stimul:root|us:bound
studio	stud:root|io:bound
submit	sub:prefix|mit:root
superior	super:prefix|ior:bound
suspect	sub:prefix|spect:root
suspense	sub:prefix|pens:root
symposium	sym:prefix|pos:root|ium:bound
tablet	tab:root|let:bound
tacit	tac:root|it:bound
talented	talent:root|ed:bound
technique	techn:root|ique:bound
telecommunication	tele:prefix|communic:root|ation:bound
terrestrial	terr:root|estrial:bound
tragedy	trag:root|edy:bound
transfer	trans:prefix|fer:root
verdict	ver:root|dict:root
viable	via:root|able:bound
vital	vit:root|al:bound
vulnerable	vulner:root|able:bound
